Type	Std	Rate
R1	2.983294e-94	0.000000e+00	2.250703e-95	3.975963e-96	8.152862e-97	1.381526e-97	1.520983e-98	1.164293e-99	5.370594e-101	2.756832e-102	1.087585e-103	5.495008e-105	1.364240e-104	1.188186e-102	3.410468e-101	3.211683e-100	1.543579e-99	5.068670e-99	1.376803e-98	3.508447e-98	9.009253e-98	2.479230e-97	7.204907e-97	2.179554e-96	6.575514e-96	1.930435e-95	5.580188e-95	1.571675e-94	4.249553e-94	1.132520e-93	3.041340e-93	8.038071e-93	2.072126e-92	5.299769e-92	1.365314e-91	3.553736e-91	9.925248e-91	3.597794e-90	1.400462e-89	4.674878e-89	1.400299e-88	3.912830e-88	1.050664e-87	2.753260e-87	7.043267e-87	1.739591e-86	4.085434e-86	9.105960e-86	1.933888e-85	4.700121e-85	3.622940e-84	1.278159e-82	2.086634e-78	1.491107e-77	4.215571e-77	1.199972e-76	4.082991e-76	1.067603e-75	2.270444e-75	4.518907e-75	8.587869e-75	1.549976e-74	2.622422e-74	4.090199e-74	5.777790e-74	7.271222e-74	8.039359e-74	7.723350e-74	6.394262e-74	4.536685e-74	2.749415e-74	1.421914e-74	6.285904e-75	2.413960e-75	4.946300e-75	3.483223e-74	1.352478e-72	4.330945e-68	5.244021e-61	2.215013e-60	3.731958e-60	4.581987e-60	4.780277e-60	4.511677e-60	3.967950e-60	3.296715e-60	2.600664e-60	1.950888e-60	1.394332e-60	9.531701e-61	6.265640e-61	3.983327e-61	2.462225e-61	1.486486e-61	8.795597e-62	5.113527e-62	2.925293e-62	1.647449e-62	9.127442e-63	4.964556e-63	
R3	8.320399e-47	0.000000e+00	1.280169e-47	6.042268e-48	3.605537e-48	2.250515e-48	1.210767e-48	5.812500e-49	2.229465e-49	1.041576e-49	5.441472e-50	4.443109e-50	3.518509e-49	1.214746e-47	1.561366e-46	8.280937e-46	2.535440e-45	5.673620e-45	1.082338e-44	1.960056e-44	3.577295e-44	6.911635e-44	1.397552e-43	2.931386e-43	6.152196e-43	1.270570e-42	2.604591e-42	5.248035e-42	1.029955e-41	2.010820e-41	3.968736e-41	7.779648e-41	1.503424e-40	2.899429e-40	5.648938e-40	1.112828e-39	2.325982e-39	5.948277e-39	1.604539e-38	3.845199e-38	8.454801e-38	1.756339e-37	3.526633e-37	6.928433e-37	1.333021e-36	2.493651e-36	4.490197e-36	7.801271e-36	1.315703e-35	2.558659e-35	1.314972e-34	1.226275e-33	1.616051e-31	3.826260e-31	5.571181e-31	8.016059e-31	1.251555e-30	1.708779e-30	2.103628e-30	2.506351e-30	2.918973e-30	3.313125e-30	3.639848e-30	3.836674e-30	3.844445e-30	3.630857e-30	3.209327e-30	2.641069e-30	2.016881e-30	1.427317e-30	9.364705e-31	5.709343e-31	3.249036e-31	1.758227e-31	5.569271e-31	6.663824e-30	4.841204e-28	3.079310e-23	5.434417e-19	1.096132e-18	1.394651e-18	1.511933e-18	1.506130e-18	1.420057e-18	1.283721e-18	1.118422e-18	9.409084e-19	7.655342e-19	6.038405e-19	4.633128e-19	3.470802e-19	2.547614e-19	1.837944e-19	1.306519e-19	9.168494e-20	6.359383e-20	4.362319e-20	2.959050e-20	1.982927e-20	1.310131e-20	
R4	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
R6	3.604921e-38	0.000000e+00	6.366942e-36	3.590134e-35	2.325368e-34	1.622744e-33	1.076414e-32	7.376732e-32	4.924855e-31	5.752906e-30	1.427654e-28	5.538478e-27	3.854321e-25	2.862987e-23	7.222843e-22	6.915912e-21	3.548876e-20	1.222592e-19	3.373320e-19	8.364014e-19	2.003453e-18	4.914392e-18	1.231695e-17	3.133635e-17	7.875322e-17	1.922381e-16	4.604302e-16	1.075378e-15	2.423565e-15	5.377708e-15	1.195671e-14	2.619815e-14	5.623079e-14	1.198143e-13	2.561884e-13	5.520688e-13	1.255252e-12	3.483944e-12	1.016975e-11	2.654293e-11	6.419687e-11	1.481484e-10	3.336601e-10	7.419758e-10	1.629452e-09	3.505347e-09	7.305171e-09	1.476648e-08	2.909244e-08	6.628447e-08	3.998384e-07	4.379797e-06	6.777532e-04	1.881412e-03	3.203094e-03	5.368330e-03	9.717310e-03	1.529968e-02	2.159437e-02	2.931467e-02	3.864170e-02	4.928801e-02	6.038001e-02	7.036807e-02	7.722868e-02	7.905510e-02	7.485591e-02	6.513036e-02	5.181662e-02	3.757132e-02	2.478075e-02	1.485427e-02	8.090284e-03	4.046058e-03	1.126047e-02	1.086617e-01	5.274435e+00	1.015148e+05	6.542758e+04	1.692495e+04	1.287882e+04	9.757900e+03	7.332781e+03	5.432337e+03	3.934686e+03	2.750751e+03	1.835355e+03	1.169294e+03	7.186534e+02	4.310684e+02	2.544790e+02	1.485849e+02	8.602845e+01	4.945743e+01	2.825222e+01	1.604282e+01	9.057395e+00	5.084287e+00	2.837083e+00	1.573119e+00	
R8	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
R9	1.561486e-30	8.436283e-30	2.205637e-29	4.671959e-29	8.454889e-29	1.326951e-28	1.830305e-28	2.331734e-28	2.765784e-28	3.621593e-28	3.934633e-28	2.301428e-28	1.013557e-28	1.172385e-28	2.044808e-28	3.924192e-28	7.188282e-28	1.190397e-27	1.798791e-27	2.500986e-27	3.251851e-27	4.016228e-27	4.700009e-27	5.194153e-27	5.354612e-27	5.087149e-27	4.517333e-27	3.751859e-27	2.911164e-27	2.156709e-27	1.559839e-27	1.104383e-27	7.664757e-28	5.259327e-28	3.587260e-28	2.464341e-28	1.744820e-28	1.313301e-28	9.652687e-29	6.807170e-29	4.724063e-29	3.279622e-29	2.297062e-29	1.624260e-29	1.155049e-29	8.224090e-30	5.843986e-30	4.127969e-30	2.874803e-30	1.971649e-30	1.630213e-30	5.074074e-30	7.996636e-28	1.855570e-27	1.684270e-27	1.562535e-27	1.845671e-27	1.868545e-27	1.683448e-27	1.516404e-27	1.377315e-27	1.247125e-27	1.109407e-27	9.554223e-28	7.863328e-28	6.120736e-28	4.468664e-28	3.038639e-28	1.912020e-28	1.105064e-28	5.801021e-29	2.719278e-29	1.113949e-29	3.900539e-30	1.145377e-30	2.779124e-31	5.508562e-32	8.830449e-33	1.230920e-33	1.413136e-34	1.317625e-35	1.055311e-36	8.162473e-38	7.400175e-39	8.810073e-40	1.268855e-40	2.100453e-41	4.791648e-42	1.920767e-42	1.141394e-42	7.719490e-43	5.404678e-43	3.839961e-43	2.758692e-43	2.000934e-43	1.462285e-43	1.073791e-43	7.897414e-44	5.795919e-44	4.234236e-44	
R10	1.448292e-43	1.704193e-45	1.458551e-47	8.717400e-50	3.478249e-52	8.798052e-55	1.328894e-57	1.118739e-60	4.837752e-64	9.375684e-68	5.913249e-72	3.164248e-76	1.236535e-78	7.178475e-79	5.846577e-79	4.868212e-79	3.991379e-79	3.167645e-79	2.435121e-79	1.816696e-79	1.321720e-79	9.420038e-80	6.600913e-80	4.556283e-80	3.094866e-80	2.067296e-80	1.358422e-80	8.783449e-81	5.601887e-81	3.539703e-81	2.225865e-81	1.394420e-81	8.706515e-82	5.429008e-82	3.381382e-82	2.111220e-82	1.329380e-82	8.537487e-83	5.425009e-83	3.420500e-83	2.155181e-83	1.360105e-83	8.603268e-84	5.448059e-84	3.446769e-84	2.174822e-84	1.367462e-84	8.565370e-85	5.339471e-85	3.305256e-85	2.048895e-85	1.459479e-85	1.629870e-84	1.922017e-84	1.399203e-84	1.013106e-84	8.138153e-85	5.913734e-85	4.011474e-85	2.716933e-85	1.847106e-85	1.250682e-85	8.341643e-86	5.416722e-86	3.389264e-86	2.028625e-86	1.158198e-86	6.320190e-87	3.315724e-87	1.682886e-87	8.278304e-88	3.922886e-88	1.767694e-88	7.457024e-89	2.903796e-89	1.032686e-89	3.329234e-90	9.678587e-91	2.634953e-91	6.483726e-92	1.445305e-92	3.062697e-93	6.868167e-94	1.956018e-94	7.808890e-95	3.913079e-95	2.146601e-95	1.208613e-95	6.827303e-96	3.840084e-96	2.146021e-96	1.191486e-96	6.575599e-97	3.609049e-97	1.970354e-97	1.069748e-97	5.771201e-98	3.089546e-98	1.637624e-98	8.567918e-99	
R11	2.014997e-25	1.917970e-24	1.099686e-23	3.276113e-23	7.892570e-23	1.576648e-22	2.541024e-22	3.341505e-22	3.562856e-22	3.256519e-22	2.617746e-22	1.859911e-22	1.481757e-22	1.841032e-22	2.964135e-22	5.176855e-22	8.639869e-22	1.308678e-21	1.816006e-21	2.331166e-21	2.818469e-21	3.261515e-21	3.623967e-21	3.856783e-21	3.897185e-21	3.701502e-21	3.320872e-21	2.813642e-21	2.252943e-21	1.730504e-21	1.295719e-21	9.491790e-22	6.816859e-22	4.832944e-22	3.401179e-22	2.401079e-22	1.734840e-22	1.313354e-22	9.759074e-23	7.018544e-23	4.973006e-23	3.517092e-23	2.499729e-23	1.785363e-23	1.276028e-23	9.081691e-24	6.411332e-24	4.470179e-24	3.055299e-24	2.048718e-24	1.634647e-24	4.201965e-24	3.504312e-23	4.097290e-23	3.110554e-23	2.506391e-23	2.378272e-23	2.165068e-23	1.881602e-23	1.627854e-23	1.399724e-23	1.187534e-23	9.869173e-24	7.977067e-24	6.224560e-24	4.648047e-24	3.282570e-24	2.157862e-24	1.294842e-24	6.944589e-25	3.262278e-25	1.318533e-25	4.517518e-26	1.296351e-26	3.085524e-27	6.040014e-28	9.636372e-29	1.236834e-29	1.383616e-30	1.337822e-31	1.105255e-32	8.053865e-34	5.109385e-35	2.730798e-36	1.194630e-37	4.144771e-39	1.203346e-40	3.826081e-42	1.832794e-43	1.190521e-44	8.513779e-46	6.511102e-47	6.121881e-48	1.027577e-48	3.449419e-49	1.563190e-49	7.588723e-50	3.720179e-50	1.813296e-50	8.734117e-51	
R12	1.105751e-15	3.563576e-15	7.236719e-15	1.312770e-14	2.198619e-14	3.418608e-14	4.930600e-14	6.691058e-14	8.659443e-14	1.147621e-13	1.643481e-13	2.176314e-13	2.319144e-13	2.464108e-13	3.168712e-13	4.407189e-13	5.992732e-13	7.665746e-13	9.280878e-13	1.070121e-12	1.190297e-12	1.292252e-12	1.369811e-12	1.412187e-12	1.405655e-12	1.338255e-12	1.224075e-12	1.074937e-12	9.046500e-13	7.372022e-13	5.883969e-13	4.611812e-13	3.555515e-13	2.709216e-13	2.051767e-13	1.554751e-13	1.195834e-13	9.442205e-14	7.401338e-14	5.657477e-14	4.261514e-14	3.197723e-14	2.404855e-14	1.814659e-14	1.370928e-14	1.033601e-14	7.752656e-15	5.761664e-15	4.214960e-15	3.046404e-15	2.653313e-15	7.590264e-15	7.189911e-14	9.633139e-14	8.263666e-14	7.288312e-14	7.319355e-14	6.876295e-14	6.069234e-14	5.281968e-14	4.542451e-14	3.840078e-14	3.171392e-14	2.541699e-14	1.962478e-14	1.447005e-14	1.006796e-14	6.504553e-15	3.825811e-15	2.005548e-15	9.181281e-16	3.605639e-16	1.196949e-16	3.319680e-17	7.621791e-18	1.438050e-18	2.215875e-19	2.772131e-20	2.894981e-21	2.483400e-22	1.729111e-23	9.851864e-25	4.640213e-26	1.829587e-27	6.152128e-29	1.829898e-30	5.306611e-32	1.942155e-33	1.183445e-34	1.031031e-35	9.966590e-37	9.790640e-38	9.625047e-39	9.465751e-40	9.320542e-41	9.188132e-42	9.059215e-43	8.920932e-44	8.776702e-45	9.518845e-46	
R13	3.567568e-30	1.550070e-28	5.627457e-28	9.080449e-28	1.347616e-27	1.898624e-27	2.439405e-27	2.864004e-27	3.069412e-27	3.626257e-27	5.899201e-27	1.671459e-26	8.970889e-26	3.540828e-25	1.045700e-24	2.450908e-24	4.738832e-24	7.721242e-24	1.125745e-23	1.511277e-23	1.925546e-23	2.391779e-23	2.900232e-23	3.400573e-23	3.830616e-23	4.075630e-23	4.124831e-23	3.972098e-23	3.600098e-23	3.098174e-23	2.560761e-23	2.022357e-23	1.522200e-23	1.095081e-23	7.522816e-24	4.955013e-24	3.157934e-24	1.984932e-24	1.172511e-24	6.512887e-25	3.512533e-25	1.878690e-25	1.008226e-25	5.445660e-26	2.952791e-26	1.600402e-26	8.636546e-27	4.620863e-27	2.435100e-27	1.267652e-27	7.936131e-28	1.629513e-27	1.709360e-26	2.619982e-26	2.360330e-26	2.440003e-26	3.401499e-26	4.245281e-26	4.725950e-26	5.176569e-26	5.603854e-26	5.926829e-26	6.041177e-26	5.852216e-26	5.315873e-26	4.468463e-26	3.426486e-26	2.356839e-26	1.426273e-26	7.441217e-27	3.282276e-27	1.202488e-27	3.599722e-28	8.659669e-29	1.638958e-29	2.352438e-30	2.336999e-31	1.043029e-32	4.288438e-34	5.820695e-35	7.052588e-36	7.809654e-37	7.518521e-38	5.976930e-39	3.800262e-40	1.871676e-41	7.676703e-43	3.588575e-44	2.780212e-45	3.332874e-46	4.986214e-47	8.543999e-48	1.636223e-48	3.467033e-49	8.032102e-50	1.998395e-50	5.233428e-51	1.423279e-51	4.096725e-52	1.464721e-52	
