Num	Type	Reaction Num.
1	P	1
2	P	2
3	P	3
4	P	4
5	P	5
6	P	6
7	P	7
8	P	8
9	P	9
10	P	10
11	P	11
12	P	12
13	P	13
14	P	14
15	P	15
16	P	16
17	P	17
18	P	18
19	P	19
20	P	20
21	P	21
22	P	22
23	P	23
24	P	24
25	P	25
26	P	26
27	P	27
28	P	28
29	P	29
30	P	30
31	P	31
32	P	32
33	P	33
34	P	34
35	P	35
36	P	36
37	P	37
38	P	38
39	P	39
40	P	40
41	P	41
42	P	42
43	P	43
44	P	44
45	P	45
46	P	46
47	P	47
48	P	48
49	P	49
50	P	50
51	P	51
52	P	52
53	P	53
54	P	54
56	P	56
57	P	57
58	P	58
59	P	59
60	P	60
61	P	61
62	P	62
63	P	63
64	P	64
65	P	65
66	P	66
67	P	67
68	P	68
69	P	69
70	P	70
71	P	71
72	R	1
73	R	2
74	R	3
75	R	4
76	R	5
77	R	6
78	R	7
79	R	8
80	R	9
81	R	10
82	R	11
83	R	12
84	R	13
85	R	14
86	R	15
87	R	16
88	R	17
89	R	18
90	R	19
91	R	20
92	R	21
93	R	22
94	R	23
95	R	24
96	R	25
97	R	26
98	R	27
99	R	28
100	R	29
101	R	30
102	R	31
103	R	32
104	R	33
105	R	34
106	R	35
107	R	36
108	R	37
109	R	38
110	R	39
111	R	40
112	R	41
113	R	44
114	R	45
115	R	46
116	R	47
117	R	48
118	R	49
119	R	50
120	R	51
121	R	52
122	R	53
123	R	54
124	R	55
125	R	56
126	R	57
127	R	59
128	R	60
129	R	61
130	R	62
131	R	63
132	R	64
133	R	65
134	R	66
135	R	67
136	R	68
137	R	69
138	R	70
139	R	71
140	R	72
141	R	73
142	R	74
143	R	75
144	R	76
145	R	77
146	R	78
147	R	79
148	R	80
149	R	81
150	R	82
151	R	83
152	R	84
153	R	85
154	R	86
155	R	87
156	R	88
157	R	89
158	R	90
159	R	91
161	R	93
162	R	94
163	R	95
164	R	96
165	R	97
166	R	98
167	R	99
168	R	100
169	R	101
170	R	102
171	R	103
172	R	104
173	R	105
174	R	106
175	R	107
176	R	108
177	R	109
178	R	110
179	R	111
180	R	112
181	R	113
182	R	114
183	R	115
184	R	116
185	R	117
186	R	118
187	R	119
188	R	120
189	R	121
190	R	122
191	R	123
192	R	124
193	R	125
194	R	126
195	R	127
196	R	128
197	R	129
198	R	130
199	R	131
200	R	132
201	R	133
202	R	134
203	R	135
204	R	136
205	R	137
206	R	138
