Type	Std	Rate
R1	7.817719e-103	1.914935e-108	7.240920e-105	1.130315e-100	4.252838e-97	5.513731e-94	8.316644e-91	1.515781e-87	2.807103e-78	3.645391e-76	2.630204e-75	9.099773e-69	5.950528e-61	1.698651e-61	6.248075e-63	1.222211e-64	1.941625e-66	2.814137e-68	3.679192e-70	2.795675e-72	
R3	5.301986e-52	5.196864e-54	3.315902e-49	2.438452e-46	7.052313e-44	9.574275e-42	1.610314e-39	3.572264e-37	2.057418e-32	5.122508e-32	6.110215e-32	3.232782e-25	4.935510e-19	1.713515e-19	1.804662e-20	1.298022e-21	8.180361e-23	4.836315e-24	2.609568e-25	8.227176e-27	
R4	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
R6	4.294171e-40	2.177033e-33	1.084130e-23	7.857361e-20	7.327361e-17	2.437462e-14	8.708768e-12	4.254636e-09	6.998447e-04	4.481486e-03	1.004183e-02	4.241175e+04	3.041283e+04	1.393492e+03	5.331110e+01	9.941166e-01	1.611316e-02	2.542936e-04	3.856844e-06	4.229536e-08	
R8	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	
R9	4.152523e-31	8.149700e-30	4.249501e-30	4.540610e-29	4.536283e-29	6.416975e-30	6.387197e-31	2.687509e-32	8.205526e-30	8.475855e-30	9.053281e-31	1.396557e-32	3.704810e-35	4.778275e-38	3.190309e-41	2.614494e-44	4.232192e-47	2.320737e-49	4.336367e-51	2.146801e-53	
R10	3.376461e-51	4.804643e-69	8.441964e-80	1.035429e-80	6.095678e-82	2.324287e-83	8.720892e-85	2.897624e-86	4.951379e-86	5.191407e-87	1.230365e-88	1.145141e-90	5.869633e-93	1.524169e-95	3.136327e-98	7.324356e-101	3.292681e-103	2.942346e-105	2.493736e-107	5.386236e-110	
R11	1.285588e-25	2.154121e-23	1.134379e-23	6.778037e-23	5.570439e-23	8.680126e-24	9.147958e-25	3.986784e-26	2.354598e-25	1.042735e-25	1.135571e-26	1.234651e-28	6.244631e-31	4.987250e-34	2.983554e-38	5.009091e-43	6.729605e-48	1.684513e-52	1.901628e-56	1.910646e-60	
R12	1.612496e-15	1.302041e-14	1.377628e-14	3.614584e-14	2.817437e-14	6.521668e-15	1.032474e-15	7.574607e-17	7.435543e-16	3.347814e-16	3.217511e-17	2.556641e-19	1.146078e-22	1.303652e-26	8.800625e-31	4.686319e-35	2.112304e-39	1.524068e-43	3.628339e-47	5.285239e-51	
R13	5.118051e-29	6.745987e-28	4.542581e-25	6.603716e-24	1.073118e-23	2.979141e-24	8.034164e-26	2.654082e-28	7.673016e-28	1.404539e-27	2.217564e-28	6.086387e-31	1.608009e-33	2.164514e-36	7.030486e-41	5.174542e-46	2.772528e-51	2.412032e-56	8.141068e-61	2.247545e-65	
R14	1.300643e-21	1.046678e-20	1.717530e-20	1.433872e-19	3.604173e-19	2.906561e-19	1.525017e-19	3.266500e-20	1.256589e-18	1.494073e-18	2.238376e-19	2.246878e-21	8.714833e-24	3.748222e-27	4.556106e-31	4.096470e-35	3.145732e-39	3.981230e-43	1.952609e-46	7.597088e-50	
R15	9.389187e-35	1.125136e-39	4.955838e-44	3.291228e-44	2.810808e-45	5.778659e-47	1.176472e-48	2.619792e-50	3.240616e-49	3.442654e-49	3.611596e-50	1.274793e-52	1.544145e-55	2.603450e-59	3.756329e-64	1.611035e-69	5.403795e-75	3.310735e-80	9.053535e-85	2.189818e-89	
R16	4.984573e-08	1.562285e-09	4.030459e-11	1.175374e-11	9.520500e-13	2.907524e-14	8.892015e-16	3.333249e-17	6.853101e-16	7.401917e-16	6.852807e-17	1.767782e-19	1.897838e-23	4.557362e-28	7.420050e-33	1.009349e-37	1.135872e-42	2.005940e-47	1.156815e-51	4.056544e-56	
R18	2.576280e-17	6.338121e-19	6.793870e-21	3.726598e-21	2.946680e-22	7.020263e-24	1.653511e-25	3.097027e-27	2.835891e-27	2.135734e-28	2.113147e-30	2.498223e-33	3.815285e-36	1.538354e-39	8.000832e-44	1.208217e-47	2.025857e-50	2.342342e-52	5.405459e-54	4.477759e-56	
R19	6.195712e-27	3.054940e-31	6.553644e-36	1.800335e-36	1.096261e-37	2.754506e-39	6.726697e-41	1.287422e-42	1.215630e-42	9.555353e-44	9.500348e-46	1.068292e-48	1.247352e-51	2.140388e-55	3.295787e-60	2.045502e-65	2.312222e-70	6.121147e-75	2.250123e-79	5.201440e-84	
R21	7.052181e-17	5.759576e-16	1.104332e-17	5.695346e-18	4.259818e-19	9.657799e-21	2.222515e-22	4.094957e-24	3.715038e-24	2.795354e-25	2.765493e-27	3.268529e-30	4.991577e-33	1.992008e-36	7.154517e-41	1.417746e-45	6.178743e-50	6.628707e-54	1.003728e-57	9.611715e-62	
R22	3.846644e-17	3.141587e-16	6.023627e-18	3.106552e-18	2.323537e-19	5.267891e-21	1.212281e-22	2.233613e-24	2.026384e-24	1.524739e-25	1.508451e-27	1.782834e-30	2.722678e-33	1.086550e-36	3.902464e-41	7.733162e-46	3.370223e-50	3.615658e-54	5.474879e-58	5.242754e-62	
R23	4.282261e-15	5.532468e-17	1.402596e-19	4.302268e-20	2.798449e-21	7.344196e-23	1.831539e-24	3.553145e-26	6.293539e-28	2.032042e-29	2.049903e-31	1.708096e-34	4.973509e-37	1.241771e-40	5.786706e-46	1.790240e-51	2.491312e-56	1.314904e-60	1.833273e-64	3.082083e-68	
R26	2.922838e-07	2.009108e-04	7.576925e-03	9.354881e-03	6.859332e-03	3.631870e-03	1.573900e-03	3.490702e-04	1.037239e-04	5.275355e-05	9.238362e-06	2.054109e-07	2.820704e-15	1.920186e-18	6.380664e-22	2.809217e-25	4.394252e-28	2.190575e-30	2.251165e-32	2.316612e-34	
R27	6.666410e-19	2.651709e-22	3.028101e-25	6.857592e-26	4.864666e-27	1.638355e-28	5.663659e-30	1.756644e-31	2.648843e-31	2.026382e-32	1.769194e-34	1.528182e-37	2.068437e-41	1.175680e-45	4.764936e-50	2.994805e-54	4.378890e-58	1.354116e-61	4.324096e-65	6.003195e-69	
R28	2.395649e-15	3.169013e-24	2.087009e-27	7.769732e-28	5.087190e-28	1.817018e-28	9.044375e-30	2.676705e-31	4.525819e-32	9.583223e-33	3.089576e-34	8.360443e-37	3.041098e-40	3.779175e-44	1.327338e-47	6.323515e-51	3.052896e-54	1.474790e-57	7.124981e-61	3.454983e-64	
R30	2.981740e-27	4.934581e-24	8.778898e-20	7.761177e-18	3.653396e-16	9.539291e-15	2.329686e-13	6.631665e-12	1.355562e-07	1.899186e-07	2.317858e-08	7.593015e-11	1.469134e-13	5.994481e-17	1.009191e-20	1.328086e-24	1.615095e-28	1.886313e-32	2.032264e-36	1.287515e-40	
R31	1.010857e-62	1.709738e-55	6.922610e-46	9.729571e-41	3.895297e-36	4.818926e-32	5.227366e-28	7.832592e-24	6.750417e-14	3.973658e-12	7.534224e-12	1.817175e-13	2.974313e-14	9.878200e-16	6.832246e-18	2.897301e-20	1.052436e-22	3.528153e-25	1.006555e-27	9.890173e-31	
R32	2.290003e-26	2.832700e-23	2.097026e-19	5.506705e-17	2.450180e-15	3.337820e-14	2.341267e-13	1.767365e-12	6.077823e-08	2.067881e-06	3.747704e-06	8.967338e-08	1.136400e-09	3.330211e-12	3.114003e-15	2.350106e-18	2.140940e-21	4.433806e-24	2.440572e-26	9.128442e-29	
