# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R1	1.224911e-63
R3	4.401574e-20
R4	0.000000e+00
R6	6.767197e+11
R8	0.000000e+00
R9	4.325459e-35
R10	5.185197e-52
R11	1.741086e-30
R12	3.086172e-23
R13	8.554099e-23
R14	2.267056e-20
R15	2.000615e-44
R16	1.249332e-15
R18	4.723449e-31
R19	6.571081e-44
R21	2.867260e-28
R22	1.563960e-28
R23	2.011167e-30
R26	2.970084e-05
R27	5.012819e-33
R28	2.221844e-27
R30	4.350117e-13
R31	7.303075e-08
R32	4.605166e-02
R33	2.356333e+00
R34	9.339135e-23
R35	4.057896e-06
R36	8.980506e-21
R37	9.007634e-11
R38	2.711840e-22
R39	1.594534e-24
R41	1.920552e-47
R44	4.890534e-08
R45	2.192852e-09
R46	1.096426e-10
R47	1.001255e-15
R48	9.717192e-14
R49	6.018357e-20
R50	3.655256e-08
R51	1.889033e-21
R52	5.878700e-18
R53	2.458875e-16
R54	1.250862e-14
R57	5.165380e-37
R59	1.280071e-18
R60	7.612649e-09
R61	7.596740e-10
R62	7.386370e-28
R63	1.115233e-19
R64	1.464683e-15
R65	7.896726e-22
R66	3.566567e-06
R67	6.025132e-08
R68	8.797695e-08
R69	1.999048e-18
R70	4.257855e-06
R71	2.838570e-05
R73	2.823009e-22
R74	8.549301e-29
R75	1.619504e-20
R76	2.812712e-18
R77	2.812712e-17
R78	2.649035e-21
R79	6.717537e-06
R80	1.423221e-12
R81	4.589243e+07
R82	1.103328e-21
R83	1.513435e-16
R84	4.368365e-11
R85	9.087604e-12
R86	5.544979e-12
R87	3.834391e-25
R91	9.054105e-11
R93	5.910613e-16
R94	1.691997e-17
R95	3.528389e-19
R96	3.467116e-10
R97	2.282143e-14
R98	2.085112e-19
R108	1.964066e-20
R109	1.401702e-18
R110	7.680545e-09
R111	2.792167e-13
R112	4.806175e-15
R113	2.647322e-07
R114	5.294644e-07
R115	1.723133e-23
R118	1.353512e+09
R120	1.624973e-74
R121	2.474713e-65
R122	2.979490e-43
R123	4.191925e+02
R127	1.054389e-10
R128	1.270543e-46
R129	1.499874e-32
R130	5.782938e+00
R131	6.110537e-09
R132	6.729669e-10
R133	2.123949e+01
R134	1.158518e+01
R135	7.669254e-19
R136	9.949517e-13
R137	2.675830e-09
R138	4.352253e-09
R140	1.322012e-08
R141	6.610062e-10
R142	7.741853e-07
R143	6.486139e-11
R145	1.062208e+03
R146	7.596866e+03
R147	2.091872e+04
R148	1.268245e+05
R149	1.320277e-15
R152	1.761111e+03
R153	9.959927e+02
R154	6.224954e+01
R155	9.529216e-02
R156	7.552199e-24
R157	4.762588e+00
R159	3.832612e-02
R160	4.806478e-03
R161	5.799552e-03
R162	1.246341e+05
R165	8.805628e-12
R166	8.631593e-10
R167	9.417489e+06
R168	9.362747e+05
R180	1.987575e+10
R181	4.416833e+08
R182	1.904759e+09
R192	3.747193e+12
R193	4.401574e-20
R195	5.188311e-10
R196	4.614381e-28
R197	2.535426e-16
R198	2.013112e-12
R199	3.231421e+01
R200	3.877705e+01
R202	1.749362e+00
R203	9.818688e-08
R204	1.924487e-13
R205	1.542261e-16
R206	7.303250e-14
R209	7.114815e-04
R214	8.424579e-46
R215	1.118443e-14
R216	0.000000e+00
R217	5.669112e-20
R218	8.265559e+00
R221	4.195847e-11
R222	1.037324e-09
R223	4.351854e-08
R224	3.241362e+03
R225	1.066035e-04
R226	4.798252e-10
R227	5.095197e-07
R228	0.000000e+00
R229	0.000000e+00
R230	0.000000e+00
R231	0.000000e+00
R232	0.000000e+00
R244	6.981857e-20
R245	1.641311e-15
R246	4.569931e-11
R247	3.888333e-02
R248	1.173450e-17
R250	6.068246e-08
R251	6.068246e-08
R252	1.165226e-03
R254	1.534526e+01
R255	6.409131e-13
R257	1.044237e+11
R261	3.338747e+11
R263	0.000000e+00
R264	0.000000e+00
R266	0.000000e+00
R267	0.000000e+00
R268	0.000000e+00
R269	0.000000e+00
R271	0.000000e+00
R272	0.000000e+00
R273	0.000000e+00
R274	0.000000e+00
R275	0.000000e+00
R389	2.416458e-08
R390	1.254328e-07
R391	4.647121e-05
R393	2.351352e-05
R394	2.351352e-05
R395	2.227147e-05
R396	4.945168e-01
R397	6.122078e-05
R398	1.133351e+00
R399	7.064527e-02
R400	6.577344e-01
R401	3.490395e-05
R402	1.196041e-05
R403	8.254725e-06
R404	1.196041e-06
R405	1.657152e-06
R406	1.369693e-06
R407	1.750359e+00
R408	3.695520e+06
R409	1.352733e+05
R411	2.254555e+06
R412	1.371521e+06
R413	1.221211e+08
R414	1.240581e+04
R415	4.500530e+07
R416	1.838788e+07
R419	1.784163e+06
R420	6.372010e+05
R421	1.318430e-10
R422	1.796493e+01
R423	3.480879e+04
R424	1.483888e+03
R425	7.376972e-02
R426	4.452015e+07
R427	4.452015e+07
R428	1.594847e-06
R433	2.329839e+07
R434	4.610397e+07
R441	1.344836e+12
R444	5.226720e+10
R445	3.358657e+12
R446	0.000000e+00
R447	5.584009e-06
R448	3.988680e-05
R449	4.796912e+07
R450	1.806837e+08
R451	1.199228e+07
R452	2.328615e+01
R453	1.086687e+02
R454	1.198885e+13
R455	1.184633e+10
R456	3.060655e+07
R458	5.434658e+11
R464	5.957030e+12
R465	8.761018e+08
R466	8.761018e+08
R468	5.719427e-10
R469	1.851281e-05
R470	3.123898e+05
R471	9.230360e+00
R472	3.859581e-03
R477	4.812673e-16
R478	4.812673e-16
R479	3.103147e-28
R480	1.422902e-27
R481	3.680348e-12
R482	4.663685e-15
R483	5.363694e+00
R485	2.671609e-14
R486	2.671609e-14
R487	1.174068e-03
R488	5.216827e-15
R489	1.466861e-06
R490	9.659122e-11
R491	4.603319e-07
R492	1.937620e-03
R493	8.033879e+06
R494	2.703299e-04
R495	6.676952e-18
R496	5.900636e-04
R499	3.138944e-03
R500	8.415543e-04
R501	5.408021e+04
R502	2.983847e-01
R503	9.935750e-01
R504	1.519633e+01
R505	3.220774e-12
R511	2.332543e+12
R512	2.115761e+06
R513	1.597070e+08
R522	1.268602e+08
R525	7.982551e+06
R526	2.021192e+04
R527	0.000000e+00
R528	0.000000e+00
R533	0.000000e+00
R536	0.000000e+00
R537	0.000000e+00
R543	0.000000e+00
R544	0.000000e+00
R545	0.000000e+00
R547	0.000000e+00
R548	0.000000e+00
R551	0.000000e+00
R553	0.000000e+00
R554	0.000000e+00
R555	0.000000e+00
R556	0.000000e+00
R557	0.000000e+00
R558	0.000000e+00
R559	0.000000e+00
R560	0.000000e+00
R561	2.214410e-05
R562	0.000000e+00
R563	0.000000e+00
R564	0.000000e+00
R565	0.000000e+00
R566	0.000000e+00
R567	0.000000e+00
R569	0.000000e+00
R570	0.000000e+00
R571	0.000000e+00
R572	0.000000e+00
R574	0.000000e+00
R575	0.000000e+00
R576	0.000000e+00
R577	0.000000e+00
R578	0.000000e+00
R579	0.000000e+00
R596	3.761355e+06
R597	2.758327e+07
R598	7.986967e+03
R599	3.926926e+04
R608	1.468997e-14
R617	4.015965e-32
R618	4.971553e-25
R645	8.792495e-03
M2	2.013618e+01
M3	2.007538e-04
M4	1.696357e+08
M5	7.109125e+01
M6	4.840906e-02
M7	2.022884e-12
M9	5.180080e-08
M10	2.827483e-01
M12	1.240134e+09
M13	1.101376e+06
M16	1.089782e+10
M17	1.913897e+12
M18	1.857650e+04
M19	1.606576e+09
M21	0.000000e+00
M31	3.077434e+09
M34	3.906585e+12
M35	5.098600e+13
M37	3.688682e-13
M38	1.810674e-09
M44	1.733601e+00
M45	0.000000e+00
M46	0.000000e+00
M47	0.000000e+00
M48	0.000000e+00
M49	0.000000e+00
M50	0.000000e+00
M51	0.000000e+00
M52	0.000000e+00
M53	0.000000e+00
M54	0.000000e+00
M55	0.000000e+00
M56	7.788606e-03
M57	2.244599e+00
M58	8.841987e-12
M73	1.079053e-01
P1	2.278232e+12
P2	4.173056e+12
P3	3.464319e+13
P4	1.214460e+13
P5	2.388439e+09
P6	1.132451e+08
P7	9.997202e+10
P20	7.226078e+07
P21	7.105023e+07
P22	4.500843e-06
P23	4.420034e-07
P24	1.204528e+01
P27	3.977754e-02
P28	8.523760e-03
P29	8.523760e-03
P30	0.000000e+00
P32	2.428429e+07
P33	3.139188e+07
P34	3.553798e+06
P35	6.767197e+11
P36	3.477525e+11
P37	2.185561e+12
P38	0.000000e+00
P40	1.449174e+02
P45	0.000000e+00
P46	0.000000e+00
P47	0.000000e+00
P48	0.000000e+00
P49	0.000000e+00
P50	0.000000e+00
P51	0.000000e+00
P52	0.000000e+00
P53	0.000000e+00
P54	0.000000e+00
P56	2.487939e-08
P57	1.181415e-12
P58	1.000228e-05
P59	1.250285e-05
P60	2.500569e-06
P61	8.730044e-09
P62	2.740877e-07
P63	6.069084e-07
P64	5.285977e-07
P65	4.307091e-07
P66	1.174662e-07
T1	1.436193e+09
T2	1.278429e-15
T3	5.359704e-09
T14	4.215472e-30
T15	1.329950e-27
T16	1.989883e-16
T17	1.696357e+08
T18	1.080827e+01
T19	7.453757e-37
T20	2.105431e-35
T21	1.043598e-50
T22	4.321525e-52
T23	1.109392e-12
T24	4.479586e-16
T25	1.011379e-29
T26	5.228390e-48
T27	2.813612e-20
T28	5.063502e-56
T29	8.975769e-54
T30	2.704858e-31
T31	1.622090e-13
T32	3.851776e-02
T33	8.682610e-47
T34	2.473337e-51
T35	9.695621e-52
T36	6.679490e-20
T37	5.876519e-22
T38	1.688978e-18
T41	0.000000e+00
T42	0.000000e+00
T43	0.000000e+00
T44	0.000000e+00
T46	2.135771e-06
T47	1.087642e-12
T48	5.678770e-32
T49	2.360466e-31
T53	0.000000e+00
T54	0.000000e+00
T55	0.000000e+00
T56	0.000000e+00
T58	0.000000e+00
T59	0.000000e+00
